■ 역대 박스오피스 (통합전산망 집계 기준),,,,,,,,,
- 조회일: 2026-06-02,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,
▶ 검색조건 [    영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,
순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사
158,캐리비안의 해적: 세상의 끝에서,2007-05-23,"29,122,818,500","4,569,391",953,"77,968",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
159,가문의 위기,2005-09-07,"28,599,708,500","4,526,455",349,"60,888",한국,한국,(주)쇼박스
160,연가시,2012-07-05,"32,176,550,664","4,516,063",759,"71,932",한국,한국,(주)씨제이이엔엠
161,터미네이터 : 미래전쟁의 시작,2009-05-21,"29,689,831,500","4,499,580",702,"93,738",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
162,강철비,2017-12-14,"35,490,646,466","4,452,900","1,426","80,360",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
163,해리 포터와 죽음의 성물2,2011-07-13,"34,951,269,260","4,446,294",757,"73,133",미국,미국,워너브러더스 코리아(주)
164,아이언맨 2,2010-04-29,"32,659,489,520","4,426,968",921,"88,308",미국,미국,씨제이엔터테인먼트
165,다만 악에서 구하소서,2020-08-05,"38,602,897,990","4,357,873","1,998","193,850",한국,한국,(주)씨제이이엔엠
166,헌트,2022-08-10,"44,602,463,153","4,352,513","1,625","170,966",한국,한국,메가박스중앙(주) 플러스엠 엔터테인먼트
167,엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,"34,654,558,766","4,313,871","1,056","82,722",미국,미국,이십세기폭스코리아(주)
168,강철중: 공공의 적 1-1,2008-06-19,"28,638,472,100","4,313,103",707,"74,157",한국,한국,"씨제이엔터테인먼트,(주)시네마서비스"
169,아이언맨,2008-04-30,"27,941,118,520","4,306,392",592,"79,076",미국,미국,씨제이엔터테인먼트
170,아가씨,2016-06-01,"35,231,232,891","4,290,051","1,171","90,490",한국,한국,(주)씨제이이엔엠
171,다크 나이트,2008-08-06,"28,786,695,189","4,283,639",462,"75,782",미국,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)"
172,박물관이 살아있다!,2006-12-21,"24,399,290,200","4,244,803",345,"56,497",미국,미국,이십세기폭스코리아(주)
